ward,cluster,cluster_label
Other Wards,2,⚠️ High-Risk Zones
Shantala Nagar,0,🔄 Average Balanced
Doddakanahalli,2,⚠️ High-Risk Zones
Koramangala,0,🔄 Average Balanced
Agara,0,🔄 Average Balanced
Adugodi,0,🔄 Average Balanced
Vasanth Nagar,0,🔄 Average Balanced
Suddagunte Palya,0,🔄 Average Balanced
Bellanduru,2,⚠️ High-Risk Zones
Hoysala Nagar,0,🔄 Average Balanced
HRBR Layout,0,🔄 Average Balanced
Old Thippasandra,0,🔄 Average Balanced
Domlur,0,🔄 Average Balanced
Jakkuru,2,⚠️ High-Risk Zones
Byrasandra,0,🔄 Average Balanced
Whitefield,0,🔄 Average Balanced
Marathahalli,2,⚠️ High-Risk Zones
Sampangiram Nagar,2,⚠️ High-Risk Zones
Gandhinagar,1,🚀 Premium Long-Haul
Aramane Nagara,3,⭐ Reliable Performers
Horamavu,0,🔄 Average Balanced
Hudi,2,⚠️ High-Risk Zones
Kempapura,1,🚀 Premium Long-Haul
Jeevanbhima Nagar,2,⚠️ High-Risk Zones
J P Nagar,0,🔄 Average Balanced
Munnekollala,2,⚠️ High-Risk Zones
Vinayakanagar,0,🔄 Average Balanced
Banasavadi,0,🔄 Average Balanced
Belathur,2,⚠️ High-Risk Zones
Pulikeshinagar,0,🔄 Average Balanced
Kalkere,2,⚠️ High-Risk Zones
New Thippasandra,0,🔄 Average Balanced
Madivala,0,🔄 Average Balanced
Hennur,0,🔄 Average Balanced
Ejipura,0,🔄 Average Balanced
Ulsoor,0,🔄 Average Balanced
Shakambari Nagar,0,🔄 Average Balanced
Mahadevapura,2,⚠️ High-Risk Zones
Dodda Nekkundi,2,⚠️ High-Risk Zones
AECS Layout,2,⚠️ High-Risk Zones
C V Raman Nagar,0,🔄 Average Balanced
Byatarayanapura,1,🚀 Premium Long-Haul
HSR - Singasandra,2,⚠️ High-Risk Zones
Babusab Palya,0,🔄 Average Balanced
Subramanyapura,1,🚀 Premium Long-Haul
Vishveshwara Puram,0,🔄 Average Balanced
Jnana Bharathi,3,⭐ Reliable Performers
Jogupalya,0,🔄 Average Balanced
Kalena Agrahara,2,⚠️ High-Risk Zones
Sarakki,0,🔄 Average Balanced
Kogilu,1,🚀 Premium Long-Haul
Rajarajeshwari Nagar,1,🚀 Premium Long-Haul
Hemmigepura,1,🚀 Premium Long-Haul
A Narayanapura,0,🔄 Average Balanced
Hulimavu,0,🔄 Average Balanced
BTM Layout,0,🔄 Average Balanced
Ibluru,2,⚠️ High-Risk Zones
Lingarajapura,0,🔄 Average Balanced
Subhash Nagar,1,🚀 Premium Long-Haul
N S Palya,0,🔄 Average Balanced
Rupenaagrahara,2,⚠️ High-Risk Zones
Kadu Malleshwara,3,⭐ Reliable Performers
Amrutahalli,1,🚀 Premium Long-Haul
Konena Agrahara,2,⚠️ High-Risk Zones
Konanakunte,3,⭐ Reliable Performers
Lal Bahadur Nagar,0,🔄 Average Balanced
